n,backend,dtype,reference_tflops,reference_basis,mean_ms,tflops,percent_of_reference,cpu_threads,relative_l2,gpu_device_mean_ms,gpu_device_tflops
64,CPU / AMX 自写 GEMM（含 A/B packing）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.00203916,0.2571097903058122,7.855606974552839,1,0.000982494093477726,,
64,CPU / AMX 自写 GEMM（A/B 均 prepacked）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.00027083930000000003,1.935789968442541,59.14518136115831,1,0.000982494093477726,,
64,CPU / BNNS,FP16→FP32 累加 (2048 已验证),,该尺寸执行路径未单独跟踪,0.00148583,0.3528586715842324,,8,0.00021863462461624295,,
64,CPU / Accelerate SGEMM,FP32,,该尺寸执行路径未单独跟踪,0.00091086,0.5755966888435106,,,0.00021863462461624295,,
64,GPU / MPS,FP16,3.57,GPU 理论峰值估计,0.30831,0.0017005222016801273,0.04763367511709041,,0.0002955844101961702,0.12277629,0.004270270750158683
64,ANE / constant B,FP16,15.8,ANE 名义峰值,0.11440000000000002,0.004582937062937062,0.029005930778082674,,0.00021863462461624295,,
64,"ANE / runtime A,B",FP16,15.8,ANE 名义峰值,0.11244000000000001,0.004662824617573816,0.029511548212492508,,0.00021863462461624295,,
128,CPU / AMX 自写 GEMM（含 A/B packing）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.00713958,0.5874720921958995,17.9493354155053,1,0.0015354665229097009,,
128,CPU / AMX 自写 GEMM（A/B 均 prepacked）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.00173374,2.4192231822533943,73.91576369342192,1,0.0015354665229097009,,
128,CPU / BNNS,FP16→FP32 累加 (2048 已验证),,该尺寸执行路径未单独跟踪,0.004766680000000001,0.8799214547651614,,1,0.00021816410298924893,,
128,CPU / Accelerate SGEMM,FP32,,该尺寸执行路径未单独跟踪,0.004554580000000001,0.9208980850045447,,,0.00021816410298924893,,
128,GPU / MPS,FP16,3.57,GPU 理论峰值估计,0.34042239999999996,0.012320881352108442,0.3451227269498163,,0.00029615871608257294,0.14051874,0.029848716263752434
128,ANE / constant B,FP16,15.8,ANE 名义峰值,0.13668,0.030687035411179397,0.19422174310873036,,0.00021816410298924893,,
128,"ANE / runtime A,B",FP16,15.8,ANE 名义峰值,0.11059999999999999,0.037923182640144666,0.24002014329205484,,0.00021816410298924893,,
256,CPU / AMX 自写 GEMM（含 A/B packing）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.0358,0.9372746368715084,28.63703154096834,1,0.002225070958957076,,
256,CPU / AMX 自写 GEMM（A/B 均 prepacked）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.01164749,2.8808294319205254,88.01945562234152,1,0.002225070958957076,,
256,CPU / BNNS,FP16→FP32 累加 (2048 已验证),,该尺寸执行路径未单独跟踪,0.027369570000000003,1.2259758556674438,,4,0.0002150416694348678,,
256,CPU / Accelerate SGEMM,FP32,,该尺寸执行路径未单独跟踪,0.02608124,1.2865351494024058,,,0.0002150416694348678,,
256,GPU / MPS,FP16,3.57,GPU 理论峰值估计,0.511097,0.06565178821241369,1.8389856642132687,,0.00028884303173981607,0.23159068,0.14488679768978613
256,ANE / constant B,FP16,15.8,ANE 名义峰值,0.14708,0.2281372858308404,1.443906872347091,,0.0002150416694348678,,
256,"ANE / runtime A,B",FP16,15.8,ANE 名义峰值,0.10518000000000001,0.3190191291119984,2.019108412101256,,0.0002150416694348678,,
512,CPU / AMX 自写 GEMM（含 A/B packing）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.1595513,1.6824397920919478,51.40444379540206,1,0.003213033080101013,,
512,CPU / AMX 自写 GEMM（A/B 均 prepacked）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.08703083,3.0843720093212945,94.23839613310976,1,0.003213033080101013,,
512,CPU / BNNS,FP16→FP32 累加 (2048 已验证),,该尺寸执行路径未单独跟踪,0.18293890000000002,1.4673503339092997,,1,0.00021268552518449724,,
512,CPU / Accelerate SGEMM,FP32,,该尺寸执行路径未单独跟踪,0.1961833,1.368289023581518,,,0.00021268552518449724,,
512,GPU / MPS,FP16,3.57,GPU 理论峰值估计,0.9351325000000001,0.28705606531694705,8.04078614333185,,0.00028810076764784753,0.7099709,0.37809360355473726
512,ANE / constant B,FP16,15.8,ANE 名义峰值,0.20934,1.2822941434986148,8.115785718345663,,0.00021268552518449724,,
512,"ANE / runtime A,B",FP16,15.8,ANE 名义峰值,0.18733,1.4329549778465809,9.069335302826461,,0.00021268552518449724,,
1024,CPU / AMX 自写 GEMM（含 A/B packing）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.9461683,2.269663492213806,69.3461899607783,1,0.004580345936119556,,
1024,CPU / AMX 自写 GEMM（A/B 均 prepacked）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,0.6834404,3.142166673202228,96.00422606955438,1,0.004580345936119556,,
1024,CPU / BNNS,FP16→FP32 累加 (2048 已验证),,该尺寸执行路径未单独跟踪,1.394383,1.5400959765000004,,8,0.00025779480347409844,,
1024,CPU / Accelerate SGEMM,FP32,,该尺寸执行路径未单独跟踪,1.5583839999999998,1.378019568989415,,,0.00020985951414331794,,
1024,GPU / MPS,FP16,3.57,GPU 理论峰值估计,1.670352,1.2856473653457474,36.0125312421778,,0.0002865780843421817,1.386873,1.5484356880550707
1024,ANE / constant B,FP16,15.8,ANE 名义峰值,0.5029899999999999,4.269436068311498,27.021747267794286,,0.00020985951414331794,,
1024,"ANE / runtime A,B",FP16,15.8,ANE 名义峰值,0.5816600000000001,3.691991280129285,23.367033418539776,,0.00020985951414331794,,
2048,CPU / AMX 自写 GEMM（含 A/B packing）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,7.280839,2.359600203218338,72.09407230860803,1,0.006497655529528856,,
2048,CPU / AMX 自写 GEMM（A/B 均 prepacked）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,5.866854,2.9282932869984495,89.46964307162465,1,0.006497655529528856,,
2048,CPU / BNNS,FP16→FP32 累加 (2048 已验证),1.6257436677948054,本机单线程 AMX FP16→FP32 实测参考,12.011779999999998,1.4302517348802595,87.97523024157213,1,0.0002565458999015391,,
2048,CPU / Accelerate SGEMM,FP32,1.627565183692477,本机单线程 AMX FP32 累加实测参考,14.801820000000001,1.160659242174273,71.31261185749078,,0.00020919203234370798,,
2048,GPU / MPS,FP16,3.57,GPU 理论峰值估计,7.327149999999999,2.344686431149902,65.6774910686247,,0.00028602866223081946,7.05744,2.4342919222834345
2048,ANE / constant B,FP16,15.8,ANE 名义峰值,2.01168,8.54006063787481,54.05101669541018,,0.00020919203234370798,,
2048,"ANE / runtime A,B",FP16,15.8,ANE 名义峰值,3.2904700000000005,5.221098865511613,33.044929528554505,,0.00020919203234370798,,
4096,CPU / AMX 自写 GEMM（含 A/B packing）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,83.45887,1.6467866563733728,50.31511529771091,1,0.009226355701684952,,
4096,CPU / AMX 自写 GEMM（A/B 均 prepacked）,FP16→FP16 累加,3.2729462043949513,本机单线程 AMX FP16 累加实测参考,77.00696,1.7847601498877501,54.53069003979206,1,0.009226355701684952,,
4096,CPU / BNNS,FP16→FP32 累加 (2048 已验证),,该尺寸执行路径未单独跟踪,202.27689999999998,0.6794594611248245,,4,0.00025495115551166236,,
4096,CPU / Accelerate SGEMM,FP32,,该尺寸执行路径未单独跟踪,129.13240000000002,1.064325866103317,,,0.00020778385805897415,,
4096,GPU / MPS,FP16,3.57,GPU 理论峰值估计,57.23008,2.401516011719711,67.26935607058014,,0.0002851366298273206,56.78612,2.420291322456967
4096,ANE / constant B,FP16,15.8,ANE 名义峰值,19.58002,7.019346939992911,44.42624645565133,,0.00020778385805897415,,
4096,"ANE / runtime A,B",FP16,15.8,ANE 名义峰值,25.40568,5.409772675716611,34.239067567826645,,0.00020778385805897415,,
